Epoch,Train Loss,Validation Loss
1,7.529183982681705,6.59699000810322
2,6.104728622496315,5.548339166139302
3,5.275526640183499,4.718879047193025
4,4.528381419406042,3.8843005079972115
5,3.785703659057617,3.150628353420057
6,3.1102792274989306,2.5647894834217273
7,2.5594710930014104,2.1116107576771785
8,2.117580929893685,1.758770095674615
9,1.7669792347193511,1.5019465622149015
10,1.4917941781046995,1.2806918181871112
11,1.2691319427893828,1.1263572071727954
12,1.0889879224068693,0.9917350003593847
13,0.9404558963536469,0.8878954868567618
14,0.8149273227374756,0.791750082844182
15,0.7081659025159376,0.7183141457407098
16,0.6196832631635816,0.6544665411898964
17,0.540759847642486,0.6037862520468863
18,0.47530869892024696,0.5573456695205287
19,0.4167195077413302,0.5224218776351527
20,0.3675749123470163,0.4844862991257718
21,0.3228457960589179,0.45556294761205973
22,0.28687022411524316,0.4278758105478789
23,0.2519084693963251,0.40064551798920883
24,0.22541086581246605,0.39047282620480184
25,0.1965564113098626,0.3548594477929567
26,0.1751209074940801,0.3636114346353631
27,0.15564493543021732,0.3385928241830123
28,0.13876429120761846,0.3149926584017904
29,0.12124950805427887,0.30500844042552144
30,0.10861504065065548,0.2820803044657958
31,0.09527404009595186,0.280218852193732
32,0.08641097716823641,0.27967295521184016
33,0.07657349340874574,0.2869811442337538
34,0.06768780625585852,0.2610738136266407
35,0.061541734415115235,0.25265778993305404
36,0.05360658342444972,0.25103287555669485
37,0.04729769919009231,0.26529191512810557
38,0.04425287402021848,0.24696073877184013
39,0.03899487477017794,0.23224297479579323
40,0.03448830189644637,0.2308880051499919
41,0.03296783457285371,0.2322874163326464
42,0.028092582994739185,0.25416024186109243
43,0.027420069890966795,0.22642211380757785
44,0.025500096789076575,0.22829312556668332
45,0.02426951923071871,0.27481230622843694
46,0.023547514306737526,0.2290948111759989
47,0.021341447703843955,0.24036508641744914
48,0.02098123063727466,0.2473302899222625
49,0.020278290340379115,0.2338073967318786
50,0.018889540056829402,0.2260759700285761
